序号,传输方向,时间标识,ID(HEX),帧格式,帧类型,数据长度,数据(HEX),
1587,接收,352.4218,00000300 H,标准帧,数据帧,4,00 00 00 00 ,
1588,接收,352.4799,00000020 H,标准帧,数据帧,1,F8 ,
1589,接收,352.4868,00000100 H,标准帧,数据帧,8,00 00 48 01 9C CF 73 37 ,
1590,接收,352.4870,00000100 H,标准帧,数据帧,8,04 CD 33 34 4C D0 33 2F ,
1591,接收,352.4872,00000100 H,标准帧,数据帧,8,08 CD 33 32 DC CC F3 3A ,
1592,接收,352.4875,00000100 H,标准帧,数据帧,8,0C CC B3 32 3C D2 33 33 ,
1593,接收,352.4877,00000100 H,标准帧,数据帧,8,10 C9 DF 2A 2C A7 72 A9 ,
1594,接收,352.4879,00000100 H,标准帧,数据帧,8,14 CA 8B 27 EC A9 32 A0 ,
1595,接收,352.4881,00000100 H,标准帧,数据帧,8,18 CA C7 2A 8C AC B2 62 ,
1596,接收,352.4884,00000100 H,标准帧,数据帧,8,1C CA 8F 28 BC AB B2 8B ,
1597,接收,352.4886,00000101 H,标准帧,数据帧,8,00 00 50 01 5C CD 33 3D ,
1598,接收,352.4888,00000101 H,标准帧,数据帧,8,04 CC C7 34 0C CE 73 47 ,
1599,接收,352.4891,00000101 H,标准帧,数据帧,8,08 CC 8B 34 BC CF B3 2B ,
1600,接收,352.4893,00000101 H,标准帧,数据帧,8,0C CD 1F 31 EC CD 33 3B ,
1601,接收,352.4895,00000101 H,标准帧,数据帧,8,10 CA 5F 25 7C A5 B2 B6 ,
1602,接收,352.4898,00000101 H,标准帧,数据帧,8,14 CA 8B 2A AC AC B2 A9 ,
1603,接收,352.4900,00000101 H,标准帧,数据帧,8,18 CA BB 2B 3C AB 32 93 ,
1604,接收,352.4902,00000101 H,标准帧,数据帧,8,1C CA 8F 27 0C AC B2 91 ,
1605,接收,352.4905,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 00 13 ,
1606,接收,352.4907,00000102 H,标准帧,数据帧,8,04 CC CF 32 8C CD F3 45 ,
1607,接收,352.4909,00000102 H,标准帧,数据帧,8,08 CC 83 33 1C CD 73 36 ,
1608,接收,352.4912,00000102 H,标准帧,数据帧,8,0C CD 17 33 5C CA 73 2F ,
1609,接收,352.4914,00000102 H,标准帧,数据帧,8,10 CA 6B 29 8C AB B2 94 ,
1610,接收,352.4916,00000102 H,标准帧,数据帧,8,14 CA 37 28 AC AB B2 91 ,
1611,接收,352.4918,00000102 H,标准帧,数据帧,8,18 CA AF 29 EC A8 72 AF ,
1612,接收,352.4921,00000102 H,标准帧,数据帧,8,1C CA 8F 2A BC A7 32 8A ,
1613,接收,352.5812,00000020 H,标准帧,数据帧,1,F8 ,
1614,接收,352.5881,00000100 H,标准帧,数据帧,8,00 00 44 01 9C CE F3 37 ,
1615,接收,352.5883,00000100 H,标准帧,数据帧,8,04 CD 33 34 2C D0 F3 30 ,
1616,接收,352.5886,00000100 H,标准帧,数据帧,8,08 CD 2F 32 DC CC F3 37 ,
1617,接收,352.5888,00000100 H,标准帧,数据帧,8,0C CC B3 32 5C D2 73 2F ,
1618,接收,352.5890,00000100 H,标准帧,数据帧,8,10 C9 E7 2A 1C A7 B2 A8 ,
1619,接收,352.5893,00000100 H,标准帧,数据帧,8,14 CA 8F 27 FC A9 B2 A0 ,
1620,接收,352.5895,00000100 H,标准帧,数据帧,8,18 CA C7 2A 9C AC B2 65 ,
1621,接收,352.5897,00000100 H,标准帧,数据帧,8,1C CA 93 28 CC AC 72 8C ,
1622,接收,352.5900,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CC B3 3F ,
1623,接收,352.5902,00000101 H,标准帧,数据帧,8,04 CC C7 34 3C CE B3 48 ,
1624,接收,352.5904,00000101 H,标准帧,数据帧,8,08 CC 8B 34 8C CF B3 2D ,
1625,接收,352.5906,00000101 H,标准帧,数据帧,8,0C CD 23 31 EC CD 33 39 ,
1626,接收,352.5909,00000101 H,标准帧,数据帧,8,10 CA 5F 25 4C A5 F2 B7 ,
1627,接收,352.5911,00000101 H,标准帧,数据帧,8,14 CA 97 2B 0C AD B2 A9 ,
1628,接收,352.5913,00000101 H,标准帧,数据帧,8,18 CA B3 2B 2C AA F2 95 ,
1629,接收,352.5916,00000101 H,标准帧,数据帧,8,1C CA 8F 27 0C AC F2 91 ,
1630,接收,352.5918,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 00 14 ,
1631,接收,352.5920,00000102 H,标准帧,数据帧,8,04 CC C3 32 4C CE 73 49 ,
1632,接收,352.5923,00000102 H,标准帧,数据帧,8,08 CC 8B 33 0C CC F3 36 ,
1633,接收,352.5925,00000102 H,标准帧,数据帧,8,0C CD 0F 33 7C CB 73 30 ,
