序号,传输方向,时间标识,ID(HEX),帧格式,帧类型,数据长度,数据(HEX),
0,接收,346.1561,00000020 H,标准帧,数据帧,1,F8 ,
1,接收,346.1630,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 B3 38 ,
2,接收,346.1632,00000100 H,标准帧,数据帧,8,04 CD 37 34 4C D0 B3 2E ,
3,接收,346.1634,00000100 H,标准帧,数据帧,8,08 CD 37 32 EC CD 73 39 ,
4,接收,346.1636,00000100 H,标准帧,数据帧,8,0C CC B7 32 3C D2 73 32 ,
5,接收,346.1639,00000100 H,标准帧,数据帧,8,10 C9 E7 2A 1C A7 F2 A7 ,
6,接收,346.1641,00000100 H,标准帧,数据帧,8,14 CA 8B 27 FC A9 72 9F ,
7,接收,346.1643,00000100 H,标准帧,数据帧,8,18 CA BB 2A 8C AC 72 66 ,
8,接收,346.1646,00000100 H,标准帧,数据帧,8,1C CA 97 28 9C AB F2 8A ,
9,接收,346.1648,00000101 H,标准帧,数据帧,8,00 00 50 01 5C CD 33 42 ,
10,接收,346.1650,00000101 H,标准帧,数据帧,8,04 CC C7 34 1C CE 73 48 ,
11,接收,346.1653,00000101 H,标准帧,数据帧,8,08 CC 83 34 8C D0 33 2C ,
12,接收,346.1655,00000101 H,标准帧,数据帧,8,0C CD 23 31 CC CD 33 3A ,
13,接收,346.1657,00000101 H,标准帧,数据帧,8,10 CA 5B 25 6C A6 32 B8 ,
14,接收,346.1659,00000101 H,标准帧,数据帧,8,14 CA 9B 2A CC AD B2 A7 ,
15,接收,346.1662,00000101 H,标准帧,数据帧,8,18 CA AF 2A FC AA B2 94 ,
16,接收,346.1664,00000101 H,标准帧,数据帧,8,1C CA 97 27 4C AC F2 92 ,
17,接收,346.1667,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 40 13 ,
18,接收,346.1669,00000102 H,标准帧,数据帧,8,04 CC CB 32 4C CE B3 48 ,
19,接收,346.1671,00000102 H,标准帧,数据帧,8,08 CC 9B 33 4C CD B3 33 ,
20,接收,346.1673,00000102 H,标准帧,数据帧,8,0C CD 0F 33 3C CB 33 30 ,
21,接收,346.1676,00000102 H,标准帧,数据帧,8,10 CA 6B 29 7C AB 32 91 ,
22,接收,346.1678,00000102 H,标准帧,数据帧,8,14 CA 33 28 9C AC 72 92 ,
23,接收,346.1680,00000102 H,标准帧,数据帧,8,18 CA BF 29 FC A8 72 B4 ,
24,接收,346.1683,00000102 H,标准帧,数据帧,8,1C CA 97 2A EC A7 32 88 ,
25,接收,346.1762,00000020 H,标准帧,数据帧,1,FA ,
26,接收,346.1808,00000200 H,标准帧,数据帧,8,00 73 75 CD 9F FE BF FA ,
27,接收,346.1810,00000200 H,标准帧,数据帧,8,04 FF EF FF BF FE DD 3E ,
28,接收,346.1813,00000201 H,标准帧,数据帧,8,00 75 09 D1 0F FF 7F FD ,
29,接收,346.1815,00000201 H,标准帧,数据帧,8,04 74 D5 D3 7F FE DD 33 ,
30,接收,346.1817,00000202 H,标准帧,数据帧,8,00 73 FF FF DF FF 7F FD ,
31,接收,346.1820,00000202 H,标准帧,数据帧,8,04 74 0D CD 8F FF 1D 09 ,
32,接收,346.2174,00000040 H,标准帧,数据帧,5,00 00 00 00 00 ,
33,接收,346.2194,00000300 H,标准帧,数据帧,4,00 00 00 00 ,
34,接收,346.2775,00000020 H,标准帧,数据帧,1,F8 ,
35,接收,346.2844,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 B3 39 ,
36,接收,346.2846,00000100 H,标准帧,数据帧,8,04 CD 37 34 4C D1 33 2F ,
37,接收,346.2848,00000100 H,标准帧,数据帧,8,08 CD 33 32 FC CD B3 35 ,
38,接收,346.2851,00000100 H,标准帧,数据帧,8,0C CC B7 32 4C D2 F3 32 ,
39,接收,346.2853,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 1C A7 72 A8 ,
40,接收,346.2855,00000100 H,标准帧,数据帧,8,14 CA 8B 27 FC A9 B2 A1 ,
41,接收,346.2857,00000100 H,标准帧,数据帧,8,18 CA C7 2A 9C AC B2 64 ,
42,接收,346.2860,00000100 H,标准帧,数据帧,8,1C CA 97 28 CC AC 32 8C ,
43,接收,346.2862,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD 73 41 ,
44,接收,346.2865,00000101 H,标准帧,数据帧,8,04 CC BF 34 2C CF 33 46 ,
45,接收,346.2867,00000101 H,标准帧,数据帧,8,08 CC 87 34 8C D0 33 2E ,
46,接收,346.2869,00000101 H,标准帧,数据帧,8,0C CD 23 31 EC CC 33 39 ,
47,接收,346.2871,00000101 H,标准帧,数据帧,8,10 CA 5F 25 5C A5 F2 B9 ,
48,接收,346.2874,00000101 H,标准帧,数据帧,8,14 CA 93 2A BC AD 72 A7 ,
49,接收,346.2876,00000101 H,标准帧,数据帧,8,18 CA AF 2A EC AA F2 96 ,
50,接收,346.2878,00000101 H,标准帧,数据帧,8,1C CA 97 27 1C AD 72 91 ,
51,接收,346.2881,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 40 13 ,
52,接收,346.2883,00000102 H,标准帧,数据帧,8,04 CC CF 32 8C CE 33 46 ,
53,接收,346.2885,00000102 H,标准帧,数据帧,8,08 CC 83 33 2C CD 73 35 ,
54,接收,346.2888,00000102 H,标准帧,数据帧,8,0C CD 17 33 5C CA F3 2D ,
55,接收,346.2890,00000102 H,标准帧,数据帧,8,10 CA 67 29 8C AB 72 90 ,
56,接收,346.2892,00000102 H,标准帧,数据帧,8,14 CA 2B 28 AC AC 72 92 ,
57,接收,346.2894,00000102 H,标准帧,数据帧,8,18 CA B7 2A 2C A8 B2 B3 ,
58,接收,346.2897,00000102 H,标准帧,数据帧,8,1C CA 93 2A EC A6 F2 87 ,
59,接收,346.3789,00000020 H,标准帧,数据帧,1,F8 ,
60,接收,346.3857,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 73 3A ,
61,接收,346.3860,00000100 H,标准帧,数据帧,8,04 CD 37 34 5C D0 F3 2F ,
62,接收,346.3862,00000100 H,标准帧,数据帧,8,08 CD 2F 33 0C CD B3 37 ,
63,接收,346.3864,00000100 H,标准帧,数据帧,8,0C CC B3 32 6C D2 B3 32 ,
64,接收,346.3867,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 2C A7 F2 A7 ,
65,接收,346.3869,00000100 H,标准帧,数据帧,8,14 CA 8B 28 0C A9 F2 A0 ,
66,接收,346.3871,00000100 H,标准帧,数据帧,8,18 CA BF 2A AC AC B2 64 ,
67,接收,346.3873,00000100 H,标准帧,数据帧,8,1C CA 93 28 BC AC 72 8C ,
68,接收,346.3876,00000101 H,标准帧,数据帧,8,00 00 50 01 7C CD 33 3F ,
69,接收,346.3878,00000101 H,标准帧,数据帧,8,04 CC C7 33 FC CE F3 47 ,
70,接收,346.3881,00000101 H,标准帧,数据帧,8,08 CC 87 34 AC D0 33 2C ,
71,接收,346.3883,00000101 H,标准帧,数据帧,8,0C CD 23 31 FC CC B3 3A ,
72,接收,346.3885,00000101 H,标准帧,数据帧,8,10 CA 5B 25 7C A5 F2 B9 ,
73,接收,346.3887,00000101 H,标准帧,数据帧,8,14 CA 97 2A FC AC F2 A7 ,
74,接收,346.3890,00000101 H,标准帧,数据帧,8,18 CA AF 2A FC AA F2 97 ,
75,接收,346.3892,00000101 H,标准帧,数据帧,8,1C CA 97 27 1C AC B2 8F ,
76,接收,346.3894,00000102 H,标准帧,数据帧,8,00 00 48 01 30 05 00 13 ,
77,接收,346.3897,00000102 H,标准帧,数据帧,8,04 CC CF 32 6C CD F3 46 ,
78,接收,346.3899,00000102 H,标准帧,数据帧,8,08 CC 87 33 2C CD B3 35 ,
79,接收,346.3901,00000102 H,标准帧,数据帧,8,0C CD 17 33 3C CB 33 2E ,
80,接收,346.3904,00000102 H,标准帧,数据帧,8,10 CA 5F 29 7C AB 32 8F ,
81,接收,346.3906,00000102 H,标准帧,数据帧,8,14 CA 2B 28 AC AB F2 92 ,
82,接收,346.3908,00000102 H,标准帧,数据帧,8,18 CA BF 2A 2C A8 72 AF ,
83,接收,346.3910,00000102 H,标准帧,数据帧,8,1C CA 97 2A EC A7 32 89 ,
84,接收,346.4802,00000020 H,标准帧,数据帧,1,F8 ,
85,接收,346.4871,00000100 H,标准帧,数据帧,8,00 00 44 01 9C CF 73 35 ,
86,接收,346.4873,00000100 H,标准帧,数据帧,8,04 CD 2B 34 3C D0 33 2B ,
87,接收,346.4875,00000100 H,标准帧,数据帧,8,08 CD 2B 32 FC CC F3 35 ,
88,接收,346.4878,00000100 H,标准帧,数据帧,8,0C CC AF 32 3C D2 B3 2F ,
89,接收,346.4880,00000100 H,标准帧,数据帧,8,10 C9 E7 2A 5C A7 72 AB ,
90,接收,346.4882,00000100 H,标准帧,数据帧,8,14 CA 8F 27 FC A9 72 A1 ,
91,接收,346.4885,00000100 H,标准帧,数据帧,8,18 CA C3 2A AC AC B2 64 ,
92,接收,346.4887,00000100 H,标准帧,数据帧,8,1C CA 93 28 BC AC 32 8A ,
93,接收,346.4889,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD 73 3F ,
94,接收,346.4892,00000101 H,标准帧,数据帧,8,04 CC BF 34 0C CF 33 49 ,
95,接收,346.4894,00000101 H,标准帧,数据帧,8,08 CC 97 34 7C CF B3 2D ,
96,接收,346.4896,00000101 H,标准帧,数据帧,8,0C CD 27 32 0C CD 33 3A ,
97,接收,346.4899,00000101 H,标准帧,数据帧,8,10 CA 5F 25 8C A6 F2 B9 ,
98,接收,346.4901,00000101 H,标准帧,数据帧,8,14 CA 8F 2A BC AC 72 A5 ,
99,接收,346.4903,00000101 H,标准帧,数据帧,8,18 CA B3 2B 1C AB B2 98 ,
100,接收,346.4905,00000101 H,标准帧,数据帧,8,1C CA 8F 27 0C AC B2 91 ,
101,接收,346.4908,00000102 H,标准帧,数据帧,8,00 00 4C 01 20 05 00 13 ,
102,接收,346.4910,00000102 H,标准帧,数据帧,8,04 CC C7 32 7C CE B3 48 ,
103,接收,346.4912,00000102 H,标准帧,数据帧,8,08 CC 87 33 5C CD 73 37 ,
104,接收,346.4915,00000102 H,标准帧,数据帧,8,0C CD 13 33 8C CB B3 31 ,
105,接收,346.4917,00000102 H,标准帧,数据帧,8,10 CA 5F 29 7C AA F2 91 ,
106,接收,346.4919,00000102 H,标准帧,数据帧,8,14 CA 2B 28 9C AB F2 94 ,
107,接收,346.4922,00000102 H,标准帧,数据帧,8,18 CA BF 29 FC A8 32 B3 ,
108,接收,346.4924,00000102 H,标准帧,数据帧,8,1C CA 93 2A DC A6 B2 89 ,
109,接收,346.5816,00000020 H,标准帧,数据帧,1,F8 ,
110,接收,346.5884,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 73 39 ,
111,接收,346.5886,00000100 H,标准帧,数据帧,8,04 CD 33 34 3C D1 33 2E ,
112,接收,346.5889,00000100 H,标准帧,数据帧,8,08 CD 37 33 1C CD 33 37 ,
113,接收,346.5891,00000100 H,标准帧,数据帧,8,0C CC BB 32 7C D2 B3 34 ,
114,接收,346.5893,00000100 H,标准帧,数据帧,8,10 C9 EF 2A 5C A8 32 A9 ,
115,接收,346.5896,00000100 H,标准帧,数据帧,8,14 CA 97 28 0C A9 F2 A0 ,
116,接收,346.5898,00000100 H,标准帧,数据帧,8,18 CA C7 2A CC AC 72 65 ,
117,接收,346.5900,00000100 H,标准帧,数据帧,8,1C CA 97 28 BC AC 32 8C ,
118,接收,346.5903,00000101 H,标准帧,数据帧,8,00 00 50 01 5C CD B3 3E ,
119,接收,346.5905,00000101 H,标准帧,数据帧,8,04 CC C7 33 FC CE F3 49 ,
120,接收,346.5907,00000101 H,标准帧,数据帧,8,08 CC 8B 34 7C D0 33 2A ,
121,接收,346.5910,00000101 H,标准帧,数据帧,8,0C CD 1F 32 1C CD 33 39 ,
122,接收,346.5912,00000101 H,标准帧,数据帧,8,10 CA 5F 25 4C A5 F2 B8 ,
123,接收,346.5914,00000101 H,标准帧,数据帧,8,14 CA 93 2A DC AD B2 A8 ,
124,接收,346.5917,00000101 H,标准帧,数据帧,8,18 CA B7 2B 0C AA B2 95 ,
125,接收,346.5919,00000101 H,标准帧,数据帧,8,1C CA 97 27 2C AC B2 92 ,
126,接收,346.5921,00000102 H,标准帧,数据帧,8,00 00 48 01 30 05 00 14 ,
127,接收,346.5924,00000102 H,标准帧,数据帧,8,04 CC D3 32 6C CE 73 43 ,
128,接收,346.5926,00000102 H,标准帧,数据帧,8,08 CC 83 33 1C CD F3 37 ,
129,接收,346.5928,00000102 H,标准帧,数据帧,8,0C CD 13 33 3C CB 33 2E ,
130,接收,346.5930,00000102 H,标准帧,数据帧,8,10 CA 5F 29 7C AB 32 91 ,
131,接收,346.5933,00000102 H,标准帧,数据帧,8,14 CA 2F 28 AC AC F2 93 ,
132,接收,346.5935,00000102 H,标准帧,数据帧,8,18 CA AF 2A 0C A7 F2 B0 ,
133,接收,346.5937,00000102 H,标准帧,数据帧,8,1C CA 8B 2A DC A7 32 89 ,
134,接收,346.6829,00000020 H,标准帧,数据帧,1,F8 ,
135,接收,346.6898,00000101 H,标准帧,数据帧,8,00 00 50 01 5C CC F3 3F ,
136,接收,346.6900,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 33 39 ,
137,接收,346.6902,00000100 H,标准帧,数据帧,8,04 CD 37 34 5C D1 33 2F ,
138,接收,346.6905,00000100 H,标准帧,数据帧,8,08 CD 37 32 FC CC F3 37 ,
139,接收,346.6907,00000100 H,标准帧,数据帧,8,0C CC B3 32 4C D2 B3 33 ,
140,接收,346.6909,00000100 H,标准帧,数据帧,8,10 C9 DF 2A 0C A7 F2 A8 ,
141,接收,346.6912,00000100 H,标准帧,数据帧,8,14 CA 8B 27 DC A9 72 A1 ,
142,接收,346.6914,00000100 H,标准帧,数据帧,8,18 CA BB 2A 8C AC F2 65 ,
143,接收,346.6916,00000100 H,标准帧,数据帧,8,1C CA 93 28 BC AC 72 8B ,
144,接收,346.6919,00000101 H,标准帧,数据帧,8,04 CC C7 34 2C CE F3 48 ,
145,接收,346.6921,00000101 H,标准帧,数据帧,8,08 CC 8B 34 9C CF F3 2B ,
146,接收,346.6923,00000101 H,标准帧,数据帧,8,0C CD 1F 31 CC CC F3 3C ,
147,接收,346.6926,00000101 H,标准帧,数据帧,8,10 CA 63 25 3C A5 F2 B8 ,
148,接收,346.6928,00000101 H,标准帧,数据帧,8,14 CA 93 2A FC AD B2 A9 ,
149,接收,346.6930,00000101 H,标准帧,数据帧,8,18 CA AF 2B 0C AB 32 94 ,
150,接收,346.6933,00000101 H,标准帧,数据帧,8,1C CA 93 27 1C AC 32 92 ,
151,接收,346.6935,00000102 H,标准帧,数据帧,8,00 00 4C 01 30 05 40 14 ,
152,接收,346.6937,00000102 H,标准帧,数据帧,8,04 CC CB 32 4C CE 33 45 ,
153,接收,346.6940,00000102 H,标准帧,数据帧,8,08 CC 83 33 2C CD F3 38 ,
154,接收,346.6942,00000102 H,标准帧,数据帧,8,0C CD 17 33 5C CB 33 2E ,
155,接收,346.6944,00000102 H,标准帧,数据帧,8,10 CA 6B 29 9C AA F2 92 ,
156,接收,346.6946,00000102 H,标准帧,数据帧,8,14 CA 2F 28 9C AB B2 90 ,
157,接收,346.6949,00000102 H,标准帧,数据帧,8,18 CA BB 29 FC A8 32 B3 ,
158,接收,346.6951,00000102 H,标准帧,数据帧,8,1C CA 8B 2A DC A6 72 89 ,
159,接收,346.7843,00000020 H,标准帧,数据帧,1,F8 ,
160,接收,346.7911,00000102 H,标准帧,数据帧,8,00 00 48 01 30 05 00 13 ,
161,接收,346.7914,00000100 H,标准帧,数据帧,8,00 00 44 01 9C D0 73 3A ,
162,接收,346.7916,00000100 H,标准帧,数据帧,8,04 CD 37 34 4C D0 73 2F ,
163,接收,346.7918,00000100 H,标准帧,数据帧,8,08 CD 3B 32 FC CD B3 38 ,
164,接收,346.7921,00000100 H,标准帧,数据帧,8,0C CC BF 32 6C D2 73 35 ,
165,接收,346.7923,00000100 H,标准帧,数据帧,8,10 C9 DF 2A 1C A7 F2 A8 ,
166,接收,346.7925,00000100 H,标准帧,数据帧,8,14 CA 8B 27 EC A9 72 9F ,
167,接收,346.7928,00000100 H,标准帧,数据帧,8,18 CA C7 2A 8C AC B2 65 ,
168,接收,346.7930,00000100 H,标准帧,数据帧,8,1C CA 8B 28 AC AC 32 89 ,
169,接收,346.7932,00000101 H,标准帧,数据帧,8,00 00 50 01 5C CD 73 41 ,
170,接收,346.7935,00000101 H,标准帧,数据帧,8,04 CC CF 34 1C CE F3 47 ,
171,接收,346.7937,00000101 H,标准帧,数据帧,8,08 CC 83 34 9C D0 33 2D ,
172,接收,346.7939,00000101 H,标准帧,数据帧,8,0C CD 27 32 0C CC 33 3A ,
173,接收,346.7941,00000101 H,标准帧,数据帧,8,10 CA 5B 25 5C A6 32 B8 ,
174,接收,346.7944,00000101 H,标准帧,数据帧,8,14 CA 8F 2A DC AC F2 A7 ,
175,接收,346.7946,00000101 H,标准帧,数据帧,8,18 CA AF 2B 0C AB 32 95 ,
176,接收,346.7948,00000101 H,标准帧,数据帧,8,1C CA 8B 27 0C AC B2 92 ,
177,接收,346.7951,00000102 H,标准帧,数据帧,8,04 CC D3 32 5C CD F3 47 ,
178,接收,346.7953,00000102 H,标准帧,数据帧,8,08 CC 93 33 4C CD F3 36 ,
179,接收,346.7955,00000102 H,标准帧,数据帧,8,0C CD 13 33 5C CA F3 2D ,
180,接收,346.7957,00000102 H,标准帧,数据帧,8,10 CA 5F 29 9C AB 72 92 ,
181,接收,346.7960,00000102 H,标准帧,数据帧,8,14 CA 33 28 BC AB B2 92 ,
182,接收,346.7962,00000102 H,标准帧,数据帧,8,18 CA B3 2A 1C A7 F2 B1 ,
183,接收,346.7964,00000102 H,标准帧,数据帧,8,1C CA 97 2A FC A7 72 89 ,
184,接收,346.8856,00000020 H,标准帧,数据帧,1,F8 ,
185,接收,346.8925,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD 73 3E ,
186,接收,346.8927,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 33 39 ,
187,接收,346.8929,00000100 H,标准帧,数据帧,8,04 CD 33 34 5C D0 F3 2F ,
188,接收,346.8932,00000100 H,标准帧,数据帧,8,08 CD 37 33 0C CD F3 37 ,
189,接收,346.8934,00000100 H,标准帧,数据帧,8,0C CC B3 32 5C D2 73 32 ,
190,接收,346.8936,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 1C A7 32 A5 ,
191,接收,346.8939,00000100 H,标准帧,数据帧,8,14 CA 7F 28 0C A9 32 9F ,
192,接收,346.8941,00000100 H,标准帧,数据帧,8,18 CA BF 2A 8C AC 32 61 ,
193,接收,346.8943,00000100 H,标准帧,数据帧,8,1C CA 8F 28 AC AC B2 89 ,
194,接收,346.8946,00000101 H,标准帧,数据帧,8,04 CC BB 34 2C CF 33 4A ,
195,接收,346.8948,00000101 H,标准帧,数据帧,8,08 CC 8F 34 8C CF 33 2B ,
196,接收,346.8950,00000101 H,标准帧,数据帧,8,0C CD 23 31 FC CD 33 3A ,
197,接收,346.8953,00000101 H,标准帧,数据帧,8,10 CA 63 25 7C A5 F2 B9 ,
198,接收,346.8955,00000101 H,标准帧,数据帧,8,14 CA 8F 2A BC AD 72 A9 ,
199,接收,346.8957,00000101 H,标准帧,数据帧,8,18 CA BF 2B 0C AB 32 96 ,
200,接收,346.8959,00000101 H,标准帧,数据帧,8,1C CA 8F 27 1C AC F2 94 ,
201,接收,346.8962,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 00 13 ,
202,接收,346.8964,00000102 H,标准帧,数据帧,8,04 CC CB 32 2C CD F3 45 ,
203,接收,346.8966,00000102 H,标准帧,数据帧,8,08 CC 87 33 2C CD B3 32 ,
204,接收,346.8969,00000102 H,标准帧,数据帧,8,0C CD 17 33 3C CA B3 30 ,
205,接收,346.8971,00000102 H,标准帧,数据帧,8,10 CA 67 29 7C AB 32 94 ,
206,接收,346.8973,00000102 H,标准帧,数据帧,8,14 CA 33 28 BC AC 32 90 ,
207,接收,346.8976,00000102 H,标准帧,数据帧,8,18 CA B3 2A 1C A7 F2 B0 ,
208,接收,346.8978,00000102 H,标准帧,数据帧,8,1C CA 9B 2B 0C A6 F2 8A ,
209,接收,346.9870,00000020 H,标准帧,数据帧,1,F8 ,
210,接收,346.9938,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 B3 3A ,
211,接收,346.9940,00000100 H,标准帧,数据帧,8,04 CD 37 34 6C D1 73 2E ,
212,接收,346.9943,00000100 H,标准帧,数据帧,8,08 CD 37 33 0C CD F3 38 ,
213,接收,346.9945,00000100 H,标准帧,数据帧,8,0C CC B7 32 4C D2 F3 33 ,
214,接收,346.9947,00000100 H,标准帧,数据帧,8,10 C9 EF 2A 4C A8 32 A9 ,
215,接收,346.9950,00000100 H,标准帧,数据帧,8,14 CA 87 28 0C A9 F2 A1 ,
216,接收,346.9952,00000100 H,标准帧,数据帧,8,18 CA C3 2A AC AC F2 64 ,
217,接收,346.9954,00000100 H,标准帧,数据帧,8,1C CA 93 28 BC AB F2 8B ,
218,接收,346.9957,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CC F3 40 ,
219,接收,346.9959,00000101 H,标准帧,数据帧,8,04 CC CB 34 4C CE F3 47 ,
220,接收,346.9961,00000101 H,标准帧,数据帧,8,08 CC 87 34 7C D0 73 2C ,
221,接收,346.9964,00000101 H,标准帧,数据帧,8,0C CD 1B 31 DC CD 73 3A ,
222,接收,346.9966,00000101 H,标准帧,数据帧,8,10 CA 53 25 7C A7 32 BB ,
223,接收,346.9968,00000101 H,标准帧,数据帧,8,14 CA 8F 2A CC AC B2 A7 ,
224,接收,346.9971,00000101 H,标准帧,数据帧,8,18 CA AF 2B 2C AB 72 96 ,
225,接收,346.9973,00000101 H,标准帧,数据帧,8,1C CA 93 27 0C AC 72 90 ,
226,接收,346.9975,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 40 13 ,
227,接收,346.9977,00000102 H,标准帧,数据帧,8,04 CC C7 32 5C CE 73 47 ,
228,接收,346.9980,00000102 H,标准帧,数据帧,8,08 CC 8F 33 4C CC F3 35 ,
229,接收,346.9982,00000102 H,标准帧,数据帧,8,0C CD 13 33 7C CA F3 30 ,
230,接收,346.9984,00000102 H,标准帧,数据帧,8,10 CA 63 29 7C AB B2 91 ,
231,接收,346.9987,00000102 H,标准帧,数据帧,8,14 CA 2F 28 AC AB F2 90 ,
232,接收,346.9989,00000102 H,标准帧,数据帧,8,18 CA B3 2A 1C A7 72 B0 ,
233,接收,346.9991,00000102 H,标准帧,数据帧,8,1C CA 8F 2B 0C A6 F2 86 ,
234,接收,347.0883,00000020 H,标准帧,数据帧,1,F8 ,
235,接收,347.0952,00000100 H,标准帧,数据帧,8,00 00 48 01 9C CF F3 39 ,
236,接收,347.0954,00000100 H,标准帧,数据帧,8,04 CD 33 34 7C D0 F3 2E ,
237,接收,347.0956,00000100 H,标准帧,数据帧,8,08 CD 33 32 FC CD B3 36 ,
238,接收,347.0959,00000100 H,标准帧,数据帧,8,0C CC BB 32 5C D2 F3 32 ,
239,接收,347.0961,00000100 H,标准帧,数据帧,8,10 C9 DF 2A 1C A7 72 A6 ,
240,接收,347.0963,00000100 H,标准帧,数据帧,8,14 CA 7F 27 CC A9 32 9F ,
241,接收,347.0966,00000100 H,标准帧,数据帧,8,18 CA C3 2A 8C AC B2 61 ,
242,接收,347.0968,00000100 H,标准帧,数据帧,8,1C CA 93 28 AC AC 72 8A ,
243,接收,347.0970,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD B3 40 ,
244,接收,347.0973,00000101 H,标准帧,数据帧,8,04 CC C7 34 2C CE 73 46 ,
245,接收,347.0975,00000101 H,标准帧,数据帧,8,08 CC 8B 34 9C CF B3 2B ,
246,接收,347.0977,00000101 H,标准帧,数据帧,8,0C CD 27 32 0C CD 73 3B ,
247,接收,347.0979,00000101 H,标准帧,数据帧,8,10 CA 57 25 7C A6 72 BB ,
248,接收,347.0982,00000101 H,标准帧,数据帧,8,14 CA 97 2A AC AC F2 A6 ,
249,接收,347.0984,00000101 H,标准帧,数据帧,8,18 CA AF 2B 1C AB B2 98 ,
250,接收,347.0986,00000101 H,标准帧,数据帧,8,1C CA 8F 26 FC AC B2 92 ,
251,接收,347.0989,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 00 13 ,
252,接收,347.0991,00000102 H,标准帧,数据帧,8,04 CC CF 32 5C CE B3 49 ,
253,接收,347.0993,00000102 H,标准帧,数据帧,8,08 CC 87 33 1C CC F3 33 ,
254,接收,347.0996,00000102 H,标准帧,数据帧,8,0C CD 17 33 7C CA F3 2F ,
255,接收,347.0998,00000102 H,标准帧,数据帧,8,10 CA 63 29 AC AB 32 91 ,
256,接收,347.1000,00000102 H,标准帧,数据帧,8,14 CA 33 28 9C AC 32 8F ,
257,接收,347.1003,00000102 H,标准帧,数据帧,8,18 CA B3 2A 0C A8 F2 B0 ,
258,接收,347.1005,00000102 H,标准帧,数据帧,8,1C CA 9B 2A FC A6 F2 89 ,
259,接收,347.1897,00000020 H,标准帧,数据帧,1,F8 ,
260,接收,347.1965,00000100 H,标准帧,数据帧,8,00 00 48 01 8C D0 B3 39 ,
261,接收,347.1967,00000100 H,标准帧,数据帧,8,04 CD 3B 34 4C D0 F3 2F ,
262,接收,347.1970,00000100 H,标准帧,数据帧,8,08 CD 37 33 0C CC F3 36 ,
263,接收,347.1972,00000100 H,标准帧,数据帧,8,0C CC B7 32 5C D2 73 32 ,
264,接收,347.1974,00000100 H,标准帧,数据帧,8,10 C9 EF 2A 4C A8 32 A8 ,
265,接收,347.1977,00000100 H,标准帧,数据帧,8,14 CA 8F 27 EC AA 32 A0 ,
266,接收,347.1979,00000100 H,标准帧,数据帧,8,18 CA C7 2A 9C AC F2 65 ,
267,接收,347.1981,00000100 H,标准帧,数据帧,8,1C CA 8F 28 CC AC 32 89 ,
268,接收,347.1984,00000101 H,标准帧,数据帧,8,00 00 4C 01 5C CC B3 3F ,
269,接收,347.1986,00000101 H,标准帧,数据帧,8,04 CC CF 34 0C CE F3 48 ,
270,接收,347.1988,00000101 H,标准帧,数据帧,8,08 CC 83 34 8C CF F3 2D ,
271,接收,347.1991,00000101 H,标准帧,数据帧,8,0C CD 1B 31 CC CC 73 39 ,
272,接收,347.1993,00000101 H,标准帧,数据帧,8,10 CA 5F 25 AC A6 B2 B8 ,
273,接收,347.1995,00000101 H,标准帧,数据帧,8,14 CA 7B 2A DC AD B2 A8 ,
274,接收,347.1997,00000101 H,标准帧,数据帧,8,18 CA BB 2B 1C AA F2 93 ,
275,接收,347.2000,00000101 H,标准帧,数据帧,8,1C CA 93 27 1C AC B2 93 ,
276,接收,347.2002,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 40 14 ,
277,接收,347.2004,00000102 H,标准帧,数据帧,8,04 CC C7 32 2C CD F3 45 ,
278,接收,347.2007,00000102 H,标准帧,数据帧,8,08 CC 93 33 4C CD 33 35 ,
279,接收,347.2009,00000102 H,标准帧,数据帧,8,0C CD 0F 33 4C CB 73 30 ,
280,接收,347.2011,00000102 H,标准帧,数据帧,8,10 CA 63 29 7C AA 72 90 ,
281,接收,347.2014,00000102 H,标准帧,数据帧,8,14 CA 27 28 9C AC 32 90 ,
282,接收,347.2016,00000102 H,标准帧,数据帧,8,18 CA B7 2A 2C A8 72 B2 ,
283,接收,347.2018,00000102 H,标准帧,数据帧,8,1C CA 93 2A DC A6 B2 87 ,
284,接收,347.2097,00000020 H,标准帧,数据帧,1,FA ,
285,接收,347.2143,00000200 H,标准帧,数据帧,8,00 73 75 CD 9F FE BF FA ,
